OasisID,continent,exact_background_class,background_class,polygon_area_km2
ASCN11061,Asia,non_BWh_BWk_background,non-BW oases,5.095405
ASCN11013,Asia,BWk_background,BWk oases,372.186644
ASCN11039,Asia,non_BWh_BWk_background,non-BW oases,16.176593
ASCN11032,Asia,BWk_background,BWk oases,27.719488
ASCN11017,Asia,BWk_background,BWk oases,274.668377
ASCN01034,Asia,non_BWh_BWk_background,non-BW oases,1.431165
ASCN11026,Asia,non_BWh_BWk_background,non-BW oases,66.481396
ASCN11028,Asia,non_BWh_BWk_background,non-BW oases,56.639932
ASCN11011,Asia,BWk_background,BWk oases,604.066539
ASCN11005,Asia,non_BWh_BWk_background,non-BW oases,6581.763075
ASCN11020,Asia,BWk_background,BWk oases,193.621803
ASCN01009,Asia,non_BWh_BWk_background,non-BW oases,44.991487
ASCN01011,Asia,non_BWh_BWk_background,non-BW oases,22.175986
ASCN01032,Asia,non_BWh_BWk_background,non-BW oases,1.726357
ASCN01022,Asia,non_BWh_BWk_background,non-BW oases,4.296479
ASCN01030,Asia,non_BWh_BWk_background,non-BW oases,2.227954
ASCN01012,Asia,non_BWh_BWk_background,non-BW oases,21.069036
ASCN01003,Asia,BWk_background,BWk oases,449.59262
ASCN01016,Asia,non_BWh_BWk_background,non-BW oases,11.375726
ASCN01026,Asia,non_BWh_BWk_background,non-BW oases,3.41085
ASCN01023,Asia,non_BWh_BWk_background,non-BW oases,4.294788
ASCN01029,Asia,non_BWh_BWk_background,non-BW oases,2.893189
ASCN01018,Asia,non_BWh_BWk_background,non-BW oases,6.88809
ASCN01015,Asia,non_BWh_BWk_background,non-BW oases,15.118122
ASCN01008,Asia,non_BWh_BWk_background,non-BW oases,62.832175
ASCN01017,Asia,non_BWh_BWk_background,non-BW oases,9.11353
ASCN01014,Asia,non_BWh_BWk_background,non-BW oases,16.231176
ASCN01024,Asia,non_BWh_BWk_background,non-BW oases,4.279795
ASMN14020,Asia,non_BWh_BWk_background,non-BW oases,18.636072
ASMN14021,Asia,BWk_background,BWk oases,14.923102
ASCN01007,Asia,non_BWh_BWk_background,non-BW oases,63.465343
ASCN01028,Asia,non_BWh_BWk_background,non-BW oases,2.921813
ASCN01025,Asia,non_BWh_BWk_background,non-BW oases,3.584734
ASCN01020,Asia,non_BWh_BWk_background,non-BW oases,6.658064
ASCN01019,Asia,non_BWh_BWk_background,non-BW oases,6.853694
ASCN01002,Asia,non_BWh_BWk_background,non-BW oases,551.584311
ASCN01033,Asia,non_BWh_BWk_background,non-BW oases,1.697389
ASCN01006,Asia,non_BWh_BWk_background,non-BW oases,77.358414
ASCN01027,Asia,non_BWh_BWk_background,non-BW oases,3.001217
ASCN01031,Asia,non_BWh_BWk_background,non-BW oases,1.961485
ASCN01035,Asia,non_BWh_BWk_background,non-BW oases,1.123357
