OasisID,continent,exact_background_class,background_class,polygon_area_km2,representative_longitude_deg_e,representative_latitude_deg_n
NAUS19084,North America,BWk_background,BWk oases,7.329797,-108.471715864,36.6977929316
NAUS19079,North America,BWk_background,BWk oases,8.146885,-110.248160536,36.7200306359
NAUS19077,North America,BWk_background,BWk oases,8.658515,-109.621799203,36.7226550871
NAUS23026,North America,non_BWh_BWk_background,non-BW oases,10.298541,-105.600014514,36.8890256983
NAUS19075,North America,BWk_background,BWk oases,9.370129,-111.464641906,36.9138288687
NAUS23028,North America,non_BWh_BWk_background,non-BW oases,2.143692,-105.553494065,36.9433627871
NAUS19006,North America,BWk_background,BWk oases,832.845281,-108.264758517,36.7192164585
NAUS23023,North America,non_BWh_BWk_background,non-BW oases,17.708783,-105.609009359,37.0174148081
NAUS19116,North America,non_BWh_BWk_background,non-BW oases,2.144579,-108.825363814,37.1319383441
NAUS19095,North America,non_BWh_BWk_background,non-BW oases,4.864797,-108.855903618,37.1297891119
NAUS19083,North America,non_BWh_BWk_background,non-BW oases,7.339374,-108.91626942,37.1651771554
NAUS23029,North America,non_BWh_BWk_background,non-BW oases,2.09496,-105.621848684,37.1936902388
NAUS19060,North America,non_BWh_BWk_background,non-BW oases,16.88532,-108.952031277,37.181177611
NAUS19119,North America,non_BWh_BWk_background,non-BW oases,1.345891,-108.960187136,37.2009074729
NAUS23013,North America,non_BWh_BWk_background,non-BW oases,66.62419,-105.543192414,37.1719680997
NAUS19086,North America,non_BWh_BWk_background,non-BW oases,6.858943,-108.985113566,37.2112673689
NAUS19062,North America,BWk_background,BWk oases,16.370768,-109.539124696,37.2767608734
NAUS23031,North America,non_BWh_BWk_background,non-BW oases,1.062843,-105.533502845,37.2907305058
NAUS23027,North America,non_BWh_BWk_background,non-BW oases,2.915585,-105.563777123,37.2880634261
