baseline_id,OasisID,continent,exact_background_class,background_class,polygon_area_km2,pop_ssp2_2050,pop_ssp2_2080,pop_ssp5_2050,pop_ssp5_2080,futurepop_analysis_method,futurepop_analysis_valid
analysis_release_3437,ASCN12182,Asia,BWk_background,BWk oases,2.294019,0.0,0.0,0.0,0.0,nearest_valid_grid,True
analysis_release_3437,ASCN12096,Asia,BWk_background,BWk oases,9.408764,104.2895458649679,45.09630621267551,107.8427311172047,48.14223820071583,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12119,Asia,BWk_background,BWk oases,6.307587,27.91297877560038,6.144041061401367,30.57048183259951,6.698995517133876,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12053,Asia,BWk_background,BWk oases,33.222957,50.2727625468879,21.73208962077878,53.17345132098227,22.86965491365657,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12173,Asia,BWk_background,BWk oases,2.648864,3.998377181823712,1.275737227957991,4.178252723455678,1.415149573039516,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12175,Asia,BWk_background,BWk oases,2.630539,0.4345040023326874,0.3395490050315857,0.4370810091495514,0.3477190136909485,nearest_valid_grid,True
analysis_release_3437,ASCN12135,Asia,BWk_background,BWk oases,4.804714,15.91274004441943,10.49193686094873,16.14348860996109,10.81862805970143,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12252,Asia,BWk_background,BWk oases,1.084876,0.2426260580917603,0.156381662435157,0.2454739997435648,0.1611158465022448,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12189,Asia,BWk_background,BWk oases,2.149575,0.2015342203435395,0.0,0.2724844755396045,0.0,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12139,Asia,BWk_background,BWk oases,4.440525,0.173827138364719,0.0488050474176205,0.1792861651724942,0.0551870665115106,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12132,Asia,BWk_background,BWk oases,4.911979,22.22418968117575,4.940745213054637,23.66103225345456,5.5052368431719,polygon_fractional_aggregation,True
