OasisID,continent,exact_background_class,background_class,polygon_area_km2,ghsl_population_2020_persons,ghsl_population_density_persons_per_km2,ghsl_built_up_area_2020_km2,ghsl_built_up_area_fraction
ASCN12067,Asia,BWk_background,BWk oases,21.002887,0.0,0.0,0.100068,0.0047644878535031
ASCN12179,Asia,BWk_background,BWk oases,2.538176,0.0,0.0,0.0,0.0
ASCN12118,Asia,BWk_background,BWk oases,6.356873,74.39889,11.70369299496781,0.022825,0.0035906018572338
ASCN12075,Asia,BWk_background,BWk oases,16.201366,0.0,0.0,0.0,0.0
ASCN12130,Asia,BWk_background,BWk oases,5.24048,0.0,0.0,0.0,0.0
ASCN12110,Asia,BWk_background,BWk oases,7.771828,1435.395471,184.6921304743234,0.104598,0.0134586097376318
ASCN12031,Asia,BWk_background,BWk oases,77.486249,17669.434271,228.033160709586,1.224456,0.0158022360844954
ASCN12047,Asia,non_BWh_BWk_background,non-BW oases,43.377096,1832.165359,42.23808248943175,0.070864,0.0016336732177737
ASCN12174,Asia,BWk_background,BWk oases,2.636285,51.04248,19.36151819700829,0.000627,0.0002378346802413
ASCN12192,Asia,BWk_background,BWk oases,2.09143,131.186988,62.725976006847,0.001609,0.0007693300755942
ASCN12131,Asia,BWk_background,BWk oases,5.118093,2.423526,0.4735212900586214,0.00023,4.493861287788245e-05
ASCN12253,Asia,BWk_background,BWk oases,1.078081,0.0,0.0,0.0,0.0
ASCN12207,Asia,BWk_background,BWk oases,1.703446,119.003849,69.86065246564904,0.000765,0.0004490896688242
ASCN12196,Asia,BWk_background,BWk oases,1.924712,304.074555,157.984443906413,0.028851,0.0149897750936243
ASCN12083,Asia,BWk_background,BWk oases,13.233166,5662.993232,427.9394086041087,0.036457,0.0027549718638759
ASCN12142,Asia,BWk_background,BWk oases,4.306806,2612.564133,606.6129129104028,0.080119,0.0186028811142178
ASCN12127,Asia,BWk_background,BWk oases,5.647455,213.647487,37.83075509233806,0.010504,0.0018599528460164
ASCN12198,Asia,BWk_background,BWk oases,1.885306,3.557848,1.887146171496829,3.9e-05,2.068629707856444e-05
ASCN12072,Asia,BWk_background,BWk oases,18.189587,1995.364153,109.6981560383971,0.012841,0.0007059533567199
ASCN12013,Asia,BWk_background,BWk oases,953.693121,16477.585014,17.27765950196049,0.805236,0.0008443344953098
ASCN12176,Asia,BWk_background,BWk oases,2.603221,0.0,0.0,0.0,0.0
ASCN12146,Asia,BWk_background,BWk oases,4.15335,0.0,0.0,0.0,0.0
ASCN12039,Asia,non_BWh_BWk_background,non-BW oases,54.628152,0.0,0.0,0.0,0.0
ASCN12034,Asia,non_BWh_BWk_background,non-BW oases,67.274669,2370.869468,35.24163705658663,0.019181,0.0002851147435597
ASCN12087,Asia,BWk_background,BWk oases,10.787205,0.0,0.0,0.0,0.0
ASCN12220,Asia,BWk_background,BWk oases,1.375054,4.458506,3.242422479408081,0.000677,0.0004923443006601
ASCN12209,Asia,BWk_background,BWk oases,1.658639,0.0,0.0,0.0,0.0
ASCN12159,Asia,BWk_background,BWk oases,3.353107,0.0,0.0,0.0,0.0
ASCN12090,Asia,BWk_background,BWk oases,10.610342,0.0,0.0,0.0,0.0
ASCN12246,Asia,BWk_background,BWk oases,1.126861,0.0,0.0,0.0,0.0
ASCN12228,Asia,BWk_background,BWk oases,1.313971,0.0,0.0,0.0,0.0
ASCN12248,Asia,BWk_background,BWk oases,1.106048,0.0,0.0,0.0,0.0
ASCN12165,Asia,BWk_background,BWk oases,3.21431,0.0,0.0,0.0,0.0
ASCN12190,Asia,BWk_background,BWk oases,2.125989,0.0,0.0,0.0,0.0
ASCN12016,Asia,BWk_background,BWk oases,307.667004,35946.44321,116.8355486375133,1.836372,0.0059686998479693
ASCN12183,Asia,BWk_background,BWk oases,2.222459,0.677792,0.3049739050304189,3.4e-05,1.52983699586809e-05
ASCN12186,Asia,BWk_background,BWk oases,2.187535,0.796012,0.3638853778339547,4e-05,1.828542171896678e-05
ASCN12018,Asia,BWk_background,BWk oases,261.234701,28417.550614,108.7816836936989,0.751139,0.0028753415879462
ASCN12062,Asia,BWk_background,BWk oases,25.509238,0.0,0.0,8e-06,3.136118766072119e-07
ASCN12194,Asia,non_BWh_BWk_background,non-BW oases,2.080505,18.913984,9.091054335365692,0.003252,0.0015630820401777
ASCN12250,Asia,BWk_background,BWk oases,1.095025,0.0,0.0,0.0,0.0
ASCN12191,Asia,BWk_background,BWk oases,2.09582,10.895359,5.198613907682912,0.002243,0.0010702254964643
